arm,chat_rate,code_rate,arrival,seed,throughput_rps,tokens_per_sec,completed,goodput,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","150","1","poisson","123",5.0032734396683525,1600.3468594772755,2735,0.8475319926873858,113.403802559415,229.65479999999997,338.96520000000004,596.7825399999984,12314.361510420475,20866.1658,25420.1675,49355.97089999988,38.26187702073887,54.376,58.117,65.687,0,0,0,"OVERLOADED",0.1994610066743424
"agg-4xtp4","150","1","poisson","777",4.6322127296072475,1518.569479962095,2705,0.9123844731977819,110.07742329020333,207.90459999999996,324.83899999999977,586.3090800000003,12352.333181146025,20700.658599999995,24069.26219999999,57532.80584000004,37.45540516022486,49.608,52.513,63.141,0,0,0,"STABLE",0
"agg-4xtp4","150","1","weibull","42",4.802860902614403,1634.8577888131313,2930,0.7569965870307167,126.77931979522185,261.3536,379.4951499999999,591.6004100000001,14355.157902389079,23937.0745,30177.855,72176.32491000005,41.920790648820415,59.747,63.11,73.585,0,0,0,"STABLE",0
"agg-4xtp4","150","1","weibull","123",5.070413536469522,1610.7219311666684,2630,0.9079847908745247,110.43725019011407,211.29139999999975,309.45064999999965,623.8487300000003,11839.14108326996,19573.094199999996,22809.847999999994,42900.03036000004,37.03508408657564,49.206,53.039,62.742,0,0,0,"OVERLOADED",0.16327745766496546
"agg-4xtp4","150","1","weibull","777",4.958853244169027,1496.2475277017295,2180,0.9917431192660551,75.227273853211,90.31269999999999,139.38184999999996,409.71679000000006,9585.72882706422,15844.521200000007,17496.66885,20827.937220000007,31.6218645387334,43.963,45.988,54.75,0,0,0,"STABLE",0
"agg-4xtp4","150","5","poisson","42",4.820520529350416,1678.815660626629,3960,0.12686002522068096,241.93963631778058,553.0908000000001,791.2665999999999,1232.2020800000005,22820.94928358586,41087.258499999996,61843.267099999975,143495.85329999993,65.01772421822223,88.207,93.743,107.564,5,0,0,"OVERLOADED",0.5077399846220845
"agg-4xtp4","150","5","poisson","123",4.649095397977655,1598.6521462027092,3987,0.12008022060666834,231.1004810729506,525.8790000000001,713.4405999999996,1144.4377199999992,22159.071370704787,41275.15820000001,58640.81919999997,141450.77781999984,63.95328690009839,89.511,96.014,108.312,2,0,0,"STABLE",0.0005013787916771095
"agg-4xtp4","150","5","poisson","777",4.340231486560218,1563.467193122098,4010,0.10423940149625935,240.48875211970073,542.2643999999999,776.8535999999997,1168.0066799999997,22959.16353840399,40103.801499999994,59917.206949999876,175101.02550999963,63.24112000286012,83.814,89.915,101.198,0,0,0,"OVERLOADED",0.5411342056745466
"agg-4xtp4","150","5","weibull","42",4.799325144685933,1687.7172437172464,3979,0.12330487192365645,243.1482255148167,557.9504000000002,788.5345499999988,1238.3044700000012,23357.178345312892,44037.0492,63792.27369999996,145195.65841999807,65.91401050624792,98.681,108.891,124.789,3,0,0,"OVERLOADED",0.46025399349700735
"agg-4xtp4","150","5","weibull","123",4.196001287486622,1447.8772128338187,3971,0.13361852038248617,240.48228736789127,558.8642000000001,749.7093999999996,1189.8786199999997,22314.462864265926,40168.305,58535.2705,144379.08330000108,64.15471456969978,90.026,96.839,112.946,3,0,0,"OVERLOADED",0.44438597064852087
"agg-4xtp4","150","5","weibull","777",4.566380850634223,1630.0077932747104,3986,0.22517552657973922,232.20392427281845,530.5399000000003,754.1003499999998,1120.39476,22413.537517812343,40536.4655,58607.3255,170161.31695000007,62.31224925749727,86.812,92.768,103.934,2,0,0,"OVERLOADED",0.6021715445287176
"agg-4xtp4","150","10","poisson","42",4.701405406750206,1641.8692462260815,3979,0.08538422903063787,241.90378628829734,533.9253,748.8123499999998,1330.2149700000002,23637.180972606184,42161.87920000001,64020.13869999996,145740.69011999958,67.18193723247245,89.31,96.7,109.298,3,0,0,"OVERLOADED",0.45873411734858427
"agg-4xtp4","150","10","poisson","123",4.416486813150967,1510.8457549435902,3969,0.09010823055625472,245.0549197080292,561.0952000000004,754.1689999999991,1237.338079999997,22811.5225643739,41015.915400000005,61089.96059999998,143614.75156,66.15740278550297,88.266,95.205,110.198,4,0,0,"OVERLOADED",0.42640654441716197
"agg-4xtp4","150","10","poisson","777",4.294475671228622,1506.626106259335,3933,0.0982233502538071,228.87867436548223,507.2359999999999,687.4049999999999,1081.4873800000014,22860.830510551743,40492.44900000001,59256.65239999998,162933.75347999966,64.69276072715802,88.751,97.155,111.122,7,0,0,"OVERLOADED",0.44238576649252176
