arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"pd-champ","2","123",0.3865723588605714,3136.530215225224,1000,89.47821,112.1743,123.74104999999999,153.61901999999998,414808.692014,1030138.6652,1264462.2218,1648828.78851,51.1762406788373,66.728,67.781,68.807,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","2","777",0.37928387923553347,3151.1287763606147,1000,89.51594,111.69180000000001,123.68899999999996,149.61619,431524.901412,1063068.4485,1322767.00115,1725778.19486,51.99194437457785,68.514,69.673,70.758,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","3","42",0.4830553690319099,3653.916312157685,1000,87.92099,112.019,123.70199999999998,154.86069999999995,387283.861901,959862.7676,1151999.5414500001,1591653.5859999997,51.252045377623716,65.546,66.644,67.443,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","3","123",0.43421901469190544,3523.1206484106397,1000,87.970585,110.7916,123.03755,153.86824,438497.848406,1070118.0863,1277433.8249499998,1711828.2522999996,54.09661500500142,69.937,70.4,70.885,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","3","777",0.3878164442183085,3222.018188026573,1000,88.42895200000001,110.4354,121.84774999999996,148.07533999999998,453230.499959,1098118.1197000002,1354643.4234499992,1809173.0216899998,54.60532055888089,72.114,75.758,77.775,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","5","42",0.4755560364293652,3597.1900329701666,1000,86.167586,109.6379,122.35774999999998,151.6397299999999,406763.531761,980776.7049,1216251.46105,1686034.4191099997,53.82781762558248,69.98,70.952,71.838,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","5","123",0.4159095705322266,3374.5634028794743,1000,85.426028,107.30170000000001,119.81099999999999,152.21062999999995,458614.731385,1117543.5353,1323494.5048999998,1700807.3520199996,56.574956612445064,72.817,76.549,78.628,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","5","777",0.3803149337156023,3159.6948811175293,1000,86.33834,108.0502,119.90794999999999,145.21448999999998,470857.423802,1138484.8782000002,1392689.5248999996,1806421.9260399996,56.72646470519619,72.001,73.421,74.376,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","1","42",0.4253251561906685,3217.2347639788622,1000,86.504361,107.7393,123.46304999999997,150.07225999999994,312780.349851,764641.8143000001,953784.2404499998,1495732.6938200002,41.399886774433554,53.382,57.359,58.663,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","1","123",0.37622381940269456,3052.565322368546,1000,88.75177099999999,112.46650000000001,124.1613,152.20314,400646.88184399996,985530.2588,1211012.53405,1610374.17746,49.43026145232873,63.349,64.927,67.96,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","1","777",0.3316281261596445,2755.1999665750686,1000,89.766686,116.8914,126.12695000000001,156.79389999999998,439100.421876,1080594.8259,1376653.19715,1889329.63325,52.90389532762392,74.553,78.96,80.585,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","2","42",0.4629187160776463,3501.5991050240623,1000,87.00831600000001,110.8221,127.55374999999998,152.39727,381363.498502,941995.8827000001,1143167.2177,1650590.1412799996,50.46913565066638,65.235,66.396,67.401,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","2","123",0.3953550913222976,3207.79062768627,1000,88.882507,112.6876,122.90084999999999,154.51891999999998,424126.410164,1030372.7926,1283623.6504499996,1668973.4665499995,52.32490118055714,67.448,68.272,69.342,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","2","777",0.35145195949006985,2919.898376091409,1000,88.01110700000001,114.2915,122.49939999999994,155.82841,473374.819198,1172626.0605000001,1485364.2911499995,1982848.29308,57.02971119395322,79.744,80.411,81.273,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","3","42",0.47727339475041697,3610.1804352830245,1000,85.91596799999999,109.63660000000002,124.91149999999996,156.68134999999998,407773.34063,1007505.6511,1223177.3816,1627008.1531499997,53.961589957368446,69.003,71.825,73.386,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","3","123",0.4226011857409995,3428.8571277408187,1000,84.786295,108.2002,119.93005,149.49995999999996,459740.550295,1111334.0518,1331099.5163499997,1721401.6149099995,56.71450235797106,74.24,76.288,77.927,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","3","777",0.37946708447884947,3152.6508640258135,1000,85.980322,111.0288,121.74475,151.72981999999996,474545.465097,1133853.4217,1390800.6842999996,1859995.8536999996,57.170378615957596,74.551,75.656,77.635,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","5","42",0.48290377830164916,3652.7696530424337,1000,84.438059,109.99860000000002,122.82894999999996,154.83994999999993,414949.377185,1003624.0223000002,1217792.2252499997,1631924.25685,54.905938191053835,69.666,71.821,73.864,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","5","123",0.4296790152996851,3486.2844780419787,1000,84.717862,107.43130000000001,118.58375,152.33690999999996,462190.187324,1129571.5865000002,1330275.78045,1761089.1329599994,57.01549592903468,71.291,73.925,77.552,0,0,1000,"1.0000","OVERLOADED",1
"pd-alt","5","777",0.3675846615975061,3053.930494602902,1000,84.028358,108.2139,120.31374999999998,145.80342,482631.92245099996,1137628.6807000001,1442811.6650999999,1834180.0803399999,58.13274950635607,74.242,76.234,78.726,0,0,1000,"1.0000","OVERLOADED",1
